X,Y,predicted_label
11.359375,-0.01953125,Density 30%
11.375,-0.01953125,Density 30%
11.390625,-0.01953125,Density 30%
11.40625,-0.02734375,Density 30%
11.421875,-0.03515625,Density 30%
11.4375,-0.03515625,Density 30%
11.453125,-0.0546875,Density 30%
11.46875,-0.0625,Density 30%
11.484375,-0.07421875,Density 30%
11.5,-0.08203125,Density 30%
11.515625,-0.078125,Density 30%
11.53125,-0.08203125,Density 30%
11.546875,-0.07421875,Density 30%
11.5625,-0.05859375,Density 30%
11.578125,-0.04296875,Density 30%
11.59375,-0.015625,Density 30%
11.609375,0.0,Density 30%
11.625,0.03515625,Density 70%
11.640625,0.05859375,Density 70%
11.65625,0.08203125,Density 70%
11.671875,0.1015625,Density 90%
11.6875,0.11328125,Density 90%
11.703125,0.12109375,Density 90%
11.71875,0.1171875,Density 90%
11.734375,0.11328125,Density 90%
11.75,0.09765625,Density 90%
11.765625,0.08984375,Density 70%
11.78125,0.06640625,Density 70%
11.796875,0.04296875,Density 70%
11.8125,0.02734375,Density 70%
11.828125,0.01171875,Density 30%
11.84375,0.00390625,Density 30%
11.859375,-0.0078125,Density 30%
11.875,-0.015625,Density 30%
11.890625,-0.0234375,Density 30%
11.90625,-0.01953125,Density 30%
11.921875,-0.015625,Density 30%
11.9375,-0.0234375,Density 30%
11.953125,-0.0078125,Density 30%
11.96875,-0.00390625,Density 30%
11.984375,-0.00390625,Density 30%
12.0,0.0,Density 30%
12.015625,0.00390625,Density 30%
12.03125,0.00390625,Density 30%
12.046875,0.0,Density 30%
12.0625,0.0078125,Density 30%
12.078125,0.00390625,Density 30%
12.09375,-0.00390625,Density 30%
12.109375,-0.0078125,Density 30%
12.125,-0.015625,Density 30%
12.140625,-0.0234375,Density 30%
12.15625,-0.03515625,Density 30%
12.171875,-0.0546875,Density 30%
12.1875,-0.06640625,Density 30%
12.203125,-0.0859375,Density 30%
12.21875,-0.109375,Density 30%
12.234375,-0.1171875,Density 30%
12.25,-0.1328125,Density 30%
12.265625,-0.140625,Density 30%
12.28125,-0.1484375,Density 30%
12.296875,-0.1484375,Density 30%
12.3125,-0.14453125,Density 30%
12.328125,-0.1328125,Density 30%
12.34375,-0.109375,Density 30%
12.359375,-0.08984375,Density 30%
12.375,-0.05078125,Density 30%
12.390625,-0.01953125,Density 30%
12.40625,0.0234375,Density 70%
12.421875,0.0625,Density 70%
12.4375,0.109375,Density 90%
12.453125,0.13671875,Density 90%
12.46875,0.16796875,Density 90%
12.484375,0.18359375,Density 90%
12.5,0.1953125,Density 90%
12.515625,0.1953125,Density 90%
12.53125,0.18359375,Density 90%
12.546875,0.1640625,Density 90%
12.5625,0.13671875,Density 90%
12.578125,0.10546875,Density 90%
12.59375,0.0625,Density 70%
12.609375,0.02734375,Density 70%
12.625,0.0078125,Density 30%
12.640625,-0.015625,Density 30%
12.65625,-0.0390625,Density 30%
12.671875,-0.0390625,Density 30%
12.6875,-0.04296875,Density 30%
12.703125,-0.0234375,Density 30%
12.71875,-0.01953125,Density 30%
12.734375,0.0,Density 30%
12.75,0.015625,Density 70%
12.765625,0.03515625,Density 70%
12.78125,0.0546875,Density 70%
12.796875,0.06640625,Density 70%
12.8125,0.06640625,Density 70%
12.828125,0.06640625,Density 70%
12.84375,0.0546875,Density 70%
12.859375,0.046875,Density 70%
12.875,0.0234375,Density 70%
12.890625,0.0078125,Density 30%
12.90625,-0.01171875,Density 30%
12.921875,-0.03515625,Density 30%
12.9375,-0.0546875,Density 30%
12.953125,-0.06640625,Density 30%
12.96875,-0.078125,Density 30%
12.984375,-0.08203125,Density 30%
13.0,-0.08203125,Density 30%
13.015625,-0.08203125,Density 30%
13.03125,-0.078125,Density 30%
13.046875,-0.0703125,Density 30%
13.0625,-0.0625,Density 30%
13.078125,-0.05078125,Density 30%
13.09375,-0.05078125,Density 30%
13.109375,-0.03515625,Density 30%
13.125,-0.0234375,Density 30%
13.140625,-0.0078125,Density 30%
13.15625,0.0,Density 30%
13.171875,0.01171875,Density 30%
13.1875,0.02734375,Density 70%
13.203125,0.03125,Density 70%
13.21875,0.04296875,Density 70%
13.234375,0.05078125,Density 70%
13.25,0.046875,Density 70%
13.265625,0.0546875,Density 70%
13.28125,0.0546875,Density 70%
13.296875,0.0546875,Density 70%
13.3125,0.0546875,Density 70%
13.328125,0.05078125,Density 70%
13.34375,0.0390625,Density 70%
13.359375,0.03515625,Density 70%
13.375,0.02734375,Density 70%
13.390625,0.01171875,Density 30%
13.40625,0.0,Density 30%
13.421875,-0.01171875,Density 30%
13.4375,-0.015625,Density 30%
13.453125,-0.0234375,Density 30%
13.46875,-0.03515625,Density 30%
13.484375,-0.03515625,Density 30%
13.5,-0.0390625,Density 30%
13.515625,-0.0390625,Density 30%
13.53125,-0.02734375,Density 30%
13.546875,-0.02734375,Density 30%
13.5625,-0.01953125,Density 30%
13.578125,-0.01171875,Density 30%
13.59375,-0.00390625,Density 30%
13.609375,-0.0078125,Density 30%
13.625,0.00390625,Density 30%
13.640625,0.0078125,Density 30%
13.65625,0.01171875,Density 50%
13.671875,0.0078125,Density 30%
13.6875,0.01171875,Density 50%
13.703125,0.015625,Density 50%
13.71875,0.0078125,Density 30%
13.734375,0.01171875,Density 50%
13.75,0.01171875,Density 50%
13.765625,0.015625,Density 50%
13.78125,0.015625,Density 50%
13.796875,0.015625,Density 50%
13.8125,0.015625,Density 50%
13.828125,0.03125,Density 70%
13.84375,0.0234375,Density 70%
13.859375,0.03125,Density 70%
13.875,0.03125,Density 70%
13.890625,0.0390625,Density 70%
13.90625,0.046875,Density 70%
13.921875,0.0390625,Density 70%
13.9375,0.046875,Density 70%
13.953125,0.05078125,Density 70%
13.96875,0.05078125,Density 70%
13.984375,0.05859375,Density 70%
14.0,0.05859375,Density 70%
14.015625,0.0703125,Density 70%
14.03125,0.07421875,Density 70%
14.046875,0.08203125,Density 90%
14.0625,0.08203125,Density 90%
14.078125,0.08203125,Density 90%
14.09375,0.0859375,Density 90%
14.109375,0.08203125,Density 90%
14.125,0.06640625,Density 70%
14.140625,0.05859375,Density 70%
14.15625,0.04296875,Density 70%
14.171875,0.0234375,Density 50%
14.1875,0.0,Density 30%
14.203125,-0.01953125,Density 30%
14.21875,-0.0390625,Density 30%
14.234375,-0.0546875,Density 30%
14.25,-0.07421875,Density 30%
14.265625,-0.0859375,Density 30%
14.28125,-0.09765625,Density 30%
14.296875,-0.1015625,Density 30%
14.3125,-0.09765625,Density 30%
14.328125,-0.08984375,Density 30%
14.34375,-0.08203125,Density 30%
14.359375,-0.06640625,Density 30%
14.375,-0.05078125,Density 30%
14.390625,-0.0390625,Density 30%
14.40625,-0.01953125,Density 30%
14.421875,-0.01171875,Density 30%
14.4375,-0.00390625,Density 30%
14.453125,0.0078125,Density 30%
14.46875,0.0078125,Density 30%
14.484375,0.01171875,Density 50%
14.5,0.00390625,Density 30%
14.515625,0.00390625,Density 30%
14.53125,0.0,Density 30%
14.546875,-0.0078125,Density 30%
14.5625,-0.00390625,Density 30%
14.578125,-0.015625,Density 30%
14.59375,-0.01171875,Density 30%
14.609375,-0.00390625,Density 30%
14.625,-0.0078125,Density 30%
14.640625,0.0,Density 30%
14.65625,0.0078125,Density 30%
14.671875,0.015625,Density 50%
14.6875,0.0234375,Density 50%
14.703125,0.0390625,Density 70%
14.71875,0.046875,Density 70%
14.734375,0.0546875,Density 70%
14.75,0.05859375,Density 70%
14.765625,0.0625,Density 70%
14.78125,0.06640625,Density 70%
14.796875,0.07421875,Density 90%
14.8125,0.0703125,Density 70%
14.828125,0.0703125,Density 70%
14.84375,0.06640625,Density 70%
14.859375,0.05859375,Density 70%
14.875,0.046875,Density 70%
14.890625,0.04296875,Density 70%
14.90625,0.02734375,Density 70%
14.921875,0.01953125,Density 50%
14.9375,0.01171875,Density 50%
14.953125,-0.00390625,Density 30%
14.96875,-0.015625,Density 30%
14.984375,-0.01953125,Density 30%
15.0,-0.03125,Density 30%
15.015625,-0.02734375,Density 30%
15.03125,-0.02734375,Density 30%
15.046875,-0.03125,Density 30%
15.0625,-0.03125,Density 30%
15.078125,-0.01953125,Density 30%
15.09375,-0.015625,Density 30%
15.109375,-0.0078125,Density 30%
15.125,0.0,Density 30%
15.140625,0.0078125,Density 30%
15.15625,0.015625,Density 50%
15.171875,0.0234375,Density 50%
15.1875,0.03125,Density 70%
15.203125,0.03515625,Density 70%
15.21875,0.03515625,Density 70%
15.234375,0.0390625,Density 70%
15.25,0.03515625,Density 70%
15.265625,0.03125,Density 70%
15.28125,0.03125,Density 70%
15.296875,0.03125,Density 70%
15.3125,0.0234375,Density 50%
15.328125,0.0234375,Density 50%
15.34375,0.01953125,Density 50%
15.359375,0.01953125,Density 50%
15.375,0.01953125,Density 50%
